8		14			?- n	< 22												
23|	O		82 ms|+45-28	8.2E-2|3.7E-2	?-	100			11340|130	-20220|160	-22100|440	3760|120	2730|130	24430|240	7163|5	23015700|130	14620|120	1970
8		15			?- n	31|7												
24|	O		65 ms|5	6.5E-2|5E-3	?-	100			10960|190	-21430|280	-28440|430	7140|170	4190|200	25510|450	7040|7	24019860|180	18500|160	1970
8		16			?- n	58|12												
26|	O		4.5 ps|+32-34	4.5E-12|3.3E-12	2n	100			16010|200	-21380|280		15260|190	739|10	28610|530#	6497|6	26037210|180	34660|160	2012
8		18																
14|	F		910 keV|100	5E-22|1E-22						-9260|400#	23960|40			-1560|40#	5285.2|29#	14034320|40#	31960|40#	2010
9		5																
15|	F		1.0 MeV|2	4.56E-22|9.11E-23	p	100			-23650|70#	-10160|50#	13711|14#		23470|40#	-1270|14#	6497.5|9#	15017785|15#	16567|14#	1978
9		6																
16|	F		40 keV|20	1.14E-20|5.7E-21	p	100			-13307|22#	-9083|8#	15417|8#	-37610|70#	13958|16#	-536|8#	6963.7|5#	16011466|9#	10680|8#	1964
9		7																
17|	F		64.49 s|16	6.45E1|1.6E-1	ec ?+	100	+4.7223 12		-14548.7|4#	-5818.7|4#	2760.46|25#	-30106|20#	16800|8#	600.27|25#	7542.328|15#	17002095.24|27#	1951.70|25#	1934
9		8																
18|	F		109.77 min|5	6.59E3|3E0	ec ?+	100			-4444.5|6	-4415.2|5	1655.9|5	-23698.6|6	9149.9|5	5607.1|5	7631.638|26	18000937.3|5	873.1|5	1937
9		9																
19|	F		STABLE|						-3239.49|16	-4013.80|0	-4820.3|26	-14876.4|4	10431.9|5	7993.60|0	7779.018|0	18998403.1629|9	-1487.4442|9	1920
9		10	100 %															
20|	F		11.07 s|6	1.11E1|6E-2	?-	100	+2.0935 9	-0.042 3	7024.47|3	-8126.3|23	-3813.6|9	-9840.83|16	6601.34|3	10639.3|26	7720.134|2	19999981.25|3	-17.46|3	1935
9		11																
21|	F		4.158 s|20	4.16E0|2E-2	?-	100	3.93 5	0.11 2	5684.2|18	-10343|15	-8110|12	-1077.0|18	8101.5|18	11132.7|20	7738.29|9	20999948.9|19	-47.6|18	1955
9		12																
22|	F		4.23 s|4	4.23E0|4E-2	?-	100	2.6944 4	0.003 2	10818|12	-12745|22	-6490|60	454|12	5230|13	12558|17	7624.3|6	22002999|13	2793|12	1965
9		13			?- n	< 11												
23|	F		2.23 s|14	2.23E0|1.4E-1	?-	100			8440|30	-15000|40	-11340|130	3240|30	7580|40	13290|70	7622.3|14	23003530|40	3290|30	1970
9		14																
24|	F		390 ms|70	3.9E-1|7E-2	?-	100			13500|100	-16650|130	-10960|190	4630|100	3810|100	14370|160	7464|4	24008100|100	7540|100	1970
9		15			?- n	< 5.9												
25|	F		80 ms|9	8E-2|9E-3	?-	100			13370|100	-16320|170	-15990|190	9210|100	4280|140	14460|190	7336|4	25012170|100	11330|100	1970
9		16			?- n	23.1|45												
26|	F		8.2 ms|9	8.2E-3|9E-4	?-	100			18170|110	-15540|240	-16010|200	12610|110	760|150	15970|200	7083|4	26020020|120	18650|110	1979
9		17			?- n	13.5|40												
27|	F		5.0 ms|2	5E-3|2E-4	?-	100			18400|400	-13700|570		16900|390	1270|410	16500|420	6868|14	27027320|420	25450|390	1981
9		18			?- n	77|21												
28|	F		? 0.046 as						22440|410	-15620|560#	-18340|800	18620|400	-220|50	18220|640#	6615|14	28036220|420	33740|390	
9		19																
29|	F		2.5 ms|3	2.5E-3|3E-4	?-	100			21750|550	-18260|730#		20780|540	1660|660	19220|870#	6444|18	29043100|560	40150|530	1989
9		20			?- n	100|80												
30|	F				n	?			24830|650#		#	21640|610#	110|790#		6233|20#	30051650|640#	48110|600#	
9		21																
31|	F		> 260 ns	2.6E-7|5E15	?- 2n	?			24960|610#		#	24790|600#	40|810#		6033|18#	31060270|590#	56140|550#	1999
9		22			?-	?												
					?- n	?												
15|	Ne		0.59 MeV	7.72E-22	2p	100					23650|70			-960|80#	4869|4#	15043170|70#	40220|70#	
10		5																
16|	Ne		122 keV|37	3.7E-21|1.1E-21	p	100				-10350|30#	13307|22		24300|70#	-131|25#	6083.2|13#	16025751|22#	23987|20#	1977
10		6																
17|	Ne		109.2 ms|6	1.09E-1|6E-4	ec p	? 100			-18670|1000#	-9040|10#	14548.7|4#		15558|20#	1469|8#	6640.499|21#	17017714.0|4#	16500.4|4#	1963
10		7			ec ?+	100												
					ec ?	?												
18|	Ne		1672 ms|8	1.67E0|8E-3	ec ?+	100			-19720|90	-5115.1|4	4444.5|6	-37930|1000	19254.1|5	3923.1|4	7341.257|20	18005708.7|4	5317.6|4	1954
10		8																
19|	Ne		17.22 s|2	1.72E1|2E-2	ec ?+	100			-11177|11	-3528.5|5	3239.49|16	-31360|90	11636.9|4	6410.0|5	7567.343|8	19001880.90|17	1752.05|16	1939
10		9																
